0,1,10,94,0
0,2,2,86,1
0,3,18,78,0
0,4,1,87,1
0,5,6,73,0
0,6,12,73,0
0,7,0,58,0
0,8,1,62,1
0,9,7,86,0
0,10,0,71,1
0,11,7,58,0
0,12,4,72,1
0,13,3,86,1
0,14,15,97,0
0,15,9,74,0
1,0,10,85,0
1,2,18,66,0
1,3,6,85,0
1,4,0,67,1
1,5,13,50,0
1,6,6,78,0
1,7,5,57,0
1,8,17,68,0
1,9,14,88,0
1,10,7,85,0
1,11,10,61,0
1,12,8,81,0
1,13,0,95,1
1,14,13,69,0
1,15,13,93,0
2,0,5,62,0
2,1,7,69,0
2,3,10,87,0
2,4,5,79,1
2,5,0,98,1
2,6,10,50,0
2,7,2,97,1
2,8,5,72,1
2,9,17,54,0
2,10,4,54,1
2,11,1,53,0
2,12,2,99,1
2,13,14,88,0
2,14,16,96,0
2,15,7,53,0
3,0,14,71,0
3,1,15,53,0
3,2,3,54,1
3,4,14,67,0
3,5,10,65,0
3,6,0,53,1
3,7,3,78,1
3,8,5,95,1
3,9,4,68,1
3,10,8,58,0
3,11,11,74,0
3,12,5,87,1
3,13,10,63,0
3,14,16,80,0
3,15,3,70,1
4,0,18,65,0
4,1,3,73,1
4,2,10,53,0
4,3,17,88,0
4,5,10,59,0
4,6,6,81,0
4,7,11,72,0
4,8,16,90,0
4,9,14,86,0
4,10,11,88,0
4,11,7,54,0
4,12,4,76,1
4,13,5,63,0
4,14,7,95,0
4,15,4,85,1
5,0,12,68,0
5,1,8,79,0
5,2,17,60,0
5,3,17,66,0
5,4,1,81,1
5,6,14,71,0
5,7,2,77,1
5,8,5,55,0
5,9,14,51,0
5,10,11,61,0
5,11,18,53,0
5,12,0,56,0
5,13,9,62,0
5,14,11,88,0
5,15,10,50,0
6,0,18,63,0
6,1,11,82,0
6,2,4,85,1
6,3,12,60,0
6,4,14,79,0
6,5,10,95,0
6,7,17,58,0
6,8,11,77,0
6,9,8,72,0
6,10,16,93,0
6,11,12,96,0
6,12,7,73,0
6,13,11,64,0
6,14,10,86,0
6,15,7,75,0
7,0,12,69,0
7,1,17,75,0
7,2,4,90,1
7,3,0,72,1
7,4,3,61,0
7,5,18,87,0
7,6,4,96,1
7,8,0,86,1
7,9,12,67,0
7,10,16,57,0
7,11,9,61,0
7,12,5,95,1
7,13,8,88,0
7,14,18,85,0
7,15,1,76,1
8,0,7,73,0
8,1,12,86,0
8,2,10,78,0
8,3,12,87,0
8,4,10,60,0
8,5,16,99,0
8,6,3,77,1
8,7,9,60,0
8,9,12,98,0
8,10,8,85,0
8,11,0,58,0
8,12,12,91,0
8,13,10,57,0
8,14,9,97,0
8,15,17,77,0
9,0,3,51,0
9,1,15,59,0
9,2,17,84,0
9,3,11,56,0
9,4,1,80,1
9,5,11,54,0
9,6,18,90,0
9,7,7,81,0
9,8,16,90,0
9,10,14,79,0
9,11,12,58,0
9,12,5,50,0
9,13,13,82,0
9,14,5,58,0
9,15,4,69,1
10,0,11,98,0
10,1,17,52,0
10,2,4,100,1
10,3,12,87,0
10,4,7,59,0
10,5,4,91,1
10,6,8,51,0
10,7,5,80,0
10,8,9,70,0
10,9,16,56,0
10,11,5,74,0
10,12,8,72,0
10,13,3,82,1
10,14,8,77,0
10,15,11,63,0
11,0,2,56,0
11,1,16,51,0
11,2,4,72,1
11,3,13,87,0
11,4,13,69,0
11,5,13,98,0
11,6,3,52,1
11,7,2,75,1
11,8,13,100,0
11,9,10,86,0
11,10,11,99,0
11,12,8,80,0
11,13,1,96,1
11,14,10,84,0
11,15,7,73,0
12,0,6,52,0
12,1,18,53,0
12,2,0,84,1
12,3,12,61,0
12,4,14,73,0
12,5,12,98,0
12,6,2,74,1
12,7,18,63,0
12,8,2,82,1
12,9,3,69,1
12,10,7,63,0
12,11,8,64,0
12,13,11,84,0
12,14,15,55,0
12,15,1,64,0
13,0,3,59,0
13,1,12,56,0
13,2,11,62,0
13,3,3,94,1
13,4,12,50,0
13,5,18,66,0
13,6,17,80,0
13,7,0,96,1
13,8,2,74,1
13,9,12,55,0
13,10,12,56,0
13,11,6,64,0
13,12,17,99,0
13,14,6,99,0
13,15,18,64,0
14,0,16,94,0
14,1,1,72,1
14,2,13,93,0
14,3,4,91,1
14,4,15,84,0
14,5,14,70,0
14,6,13,51,0
14,7,1,57,0
14,8,1,100,1
14,9,16,87,0
14,10,7,63,0
14,11,5,84,0
14,12,3,60,1
14,13,3,91,1
14,15,13,76,0
15,0,16,75,0
15,1,16,59,0
15,2,17,54,0
15,3,16,90,0
15,4,13,88,0
15,5,2,70,1
15,6,7,95,0
15,7,4,77,1
15,8,1,58,0
15,9,9,65,0
15,10,6,81,0
15,11,13,55,0
15,12,4,75,1
15,13,3,58,1
15,14,15,89,0
