#the court is divied into 8 times 8 matrix
#1 ball's position
#2 self position on court
#3 self position (i.e. SG(2))
#4 C's position (5)
#5 PF's position (4)
#6 SF's position (3)
#7 PG's position (1)
#8 defender's position (2')
#9 hold the ball (1 (True) or 0 (False))
#10 time (the rest time of the 24)
#11 scores (the former one always is the attacker team)
#12 tactics (0:no tactics
#			1:pick and roll
#			2:3 points shot
#			3:singles)
#13 go to which position
#14 how to deal with the ball(0: no action
#							1:shot
#							2:pass
#							3:break through
#							4:reband)
#15 ball is passed to which position
#***********************************************************************************************************************************#*******************************************************************************************
#round 1
##1    #2  #3  #4    #5    #6    #7  #8#9#10 #11#12 #13 #14 #15
(1,3),(3,2),2,(2,1),(1,1),(0,2),(1,3),2,0,24,0:0,1,(3,2),0,(1,2)
(1,2),(3,2),2,(2,1),(1,2),(0,2),(1,2),2,0,21,0:0,1,(3,2),0,(2,2)
(2,2),(3,2),2,(2,1),(1,2),(0,2),(2,2),2,0,18,0:0,1,(3,2),0,(1,0)
(1,0),(3,2),2,(2,1),(1,2),(0,2),(2,2),2,0,15,0:0,1,(1,0),4,(1,0)
#round 2
(2,3),(3,2),2,(1,1),(2,1),(1,2),(2,3),2,0,24,3:0,0,(3,2),0,(1,3)
(1,3),(3,2),2,(1,1),(2,1),(1,2),(1,3),2,0,21,3:0,0,(3,2),0,(3,2)
(3,2),(3,2),2,(1,1),(2,1),(1,2),(1,3),2,1,18,3:0,0,(3,2),2,(2,1)
(2,1),(3,2),2,(1,1),(2,1),(1,2),(1,3),2,0,15,3:0,0,(3,2),0,(2,0)
(2,0),(3,2),2,(1,1),(2,1),(1,2),(1,3),2,0,12,3:0,0,(2,0),4,(2,0)
#round 3
(1,2),(2,2),2,(3,0),(1,1),(0,0),(1,2),2,0,24,3:0,3,(2,2),0,(0,2)
(0,2),(2,2),2,(3,0),(1,1),(0,0),(0,2),2,0,21,3:0,3,(2,2),0,(0,0)
(0,0),(2,2),2,(3,0),(1,1),(0,0),(0,2),2,0,18,3:0,3,(2,2),0,(1,0)
(1,0),(2,2),2,(3,0),(1,1),(1,0),(0,2),2,0,15,3:0,3,(2,2),0,(1,0)
(1,0),(2,2),2,(3,0),(1,1),(1,0),(0,2),2,0,12,3:0,3,(1,0),4,(1,0)
#round 4
(1,3),(0,2),2,(2,1),(1,1),(3,2),(1,3),2,0,24,5:0,0,(0,1),0,(2,3)
(2,3),(0,1),2,(2,1),(1,1),(3,2),(2,3),2,0,21,5:0,0,(0,1),0,(0,1)
(0,1),(0,1),2,(2,1),(1,1),(3,2),(2,3),2,1,18,5:0,0,(0,0),0,(0,0)
(0,0),(0,0),2,(2,1),(1,1),(3,2),(2,3),2,1,15,5:0,0,(0,0),1,(1,0)
(1,0),(0,0),2,(2,1),(1,1),(3,2),(2,3),2,1,12,5:0,0,(1,0),4,(1,0)
#round 5
(1,0),(0,0),2,(2,0),(1,0),(3,1),(1,2),2,0,24,5:0,0,(0,0),0,(1,2)
(1,2),(0,0),2,(2,0),(1,0),(3,1),(1,2),2,0,21,5:0,0,(0,1),0,(3,1)
(3,1),(0,0),2,(2,0),(1,0),(3,1),(1,2),2,0,18,5:0,0,(0,1),0,(2,0)
(2,0),(0,0),2,(2,0),(1,0),(3,1),(1,2),2,0,16,5:0,0,(2,0),4,(2,0)
