0,1,0
0,2,0
0,3,1
0,4,0
0,5,0
0,6,1
0,7,1
0,8,0
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
1,0,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,1
1,8,1
1,9,0
1,10,1
1,11,1
1,12,1
1,13,1
1,14,1
1,15,1
2,0,0
2,1,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,1
2,9,1
2,10,0
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
3,0,1
3,1,0
3,2,0
3,4,1
3,5,1
3,6,0
3,7,0
3,8,1
3,9,1
3,10,1
3,11,0
3,12,1
3,13,1
3,14,1
3,15,1
4,0,0
4,1,0
4,2,1
4,3,1
4,5,0
4,6,0
4,7,1
4,8,0
4,9,0
4,10,1
4,11,1
4,12,0
4,13,1
4,14,1
4,15,1
5,0,0
5,1,0
5,2,0
5,3,1
5,4,0
5,6,0
5,7,0
5,8,0
5,9,0
5,10,0
5,11,1
5,12,1
5,13,0
5,14,1
5,15,1
6,0,1
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,7,0
6,8,1
6,9,0
6,10,0
6,11,0
6,12,1
6,13,1
6,14,0
6,15,1
7,0,1
7,1,1
7,2,0
7,3,0
7,4,1
7,5,0
7,6,0
7,8,1
7,9,1
7,10,0
7,11,0
7,12,1
7,13,1
7,14,1
7,15,0
8,0,0
8,1,1
8,2,1
8,3,1
8,4,0
8,5,0
8,6,1
8,7,1
8,9,0
8,10,0
8,11,1
8,12,0
8,13,0
8,14,1
8,15,1
9,0,1
9,1,0
9,2,1
9,3,1
9,4,0
9,5,0
9,6,0
9,7,1
9,8,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,1
10,0,1
10,1,1
10,2,0
10,3,1
10,4,1
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,11,0
10,12,1
10,13,0
10,14,0
10,15,0
11,0,1
11,1,1
11,2,1
11,3,0
11,4,1
11,5,1
11,6,0
11,7,0
11,8,1
11,9,0
11,10,0
11,12,1
11,13,1
11,14,0
11,15,0
12,0,1
12,1,1
12,2,1
12,3,1
12,4,0
12,5,1
12,6,1
12,7,1
12,8,0
12,9,0
12,10,1
12,11,1
12,13,0
12,14,0
12,15,1
13,0,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,0
13,6,1
13,7,1
13,8,0
13,9,0
13,10,0
13,11,1
13,12,0
13,14,0
13,15,0
14,0,1
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,0
14,7,1
14,8,1
14,9,0
14,10,0
14,11,0
14,12,0
14,13,0
14,15,0
15,0,1
15,1,1
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,0
15,8,1
15,9,1
15,10,0
15,11,0
15,12,1
15,13,0
15,14,0
